"customer_id","first_name","last_name","dob","job_industry_category_id","wealth_segment_id","deceased_indicator","owns_car","address_id"
116,Scottie,Swiffen,1999-02-05,3,2,N,Yes,1863
117,Nance,Suttling,1982-02-23,3,3,N,No,3219
118,Prentice,Pearmain,1959-11-12,4,1,N,No,1872
119,Willey,Chastanet,1981-12-04,4,1,N,Yes,3685
120,Sloan,Wagg,1978-09-02,8,1,N,Yes,1441
121,Myles,Pauncefort,1957-10-02,3,3,N,No,1742
122,Colver,Itter,1979-04-19,8,3,N,Yes,3420
123,Almeta,Kalinsky,1988-12-03,8,1,N,No,974
124,Kath,Cunney,1995-05-03,10,1,N,Yes,754
125,Darrelle,Antoniewski,1960-03-17,5,3,N,No,826
126,Norman,Cliff,1992-10-15,10,3,N,Yes,1712
127,Merrili,Whitear,1974-12-03,8,3,N,No,2147
128,Isidro,Cypler,1977-07-17,5,3,N,Yes,965
129,Weidar,Silkstone,1985-07-20,8,1,N,Yes,3062
130,Raddy,Delete,1997-07-18,3,3,N,No,2598
131,Jana,Renyard,1964-10-16,2,1,N,No,1588
132,Celesta,Willavoys,1963-07-07,3,3,N,Yes,1335
133,Eldridge,Fiddeman,1977-06-13,8,3,N,Yes,30
134,Merna,McCulloch,1997-08-01,9,2,N,Yes,2515
135,Rosalia,Sigart,1975-01-18,7,3,N,No,1014
136,Mel,Bennet,1973-05-26,3,1,N,Yes,1148
137,Vaughn,Artin,1987-11-21,5,1,N,No,3883
138,Onofredo,Franc,1985-04-28,8,2,N,Yes,1531
139,Gar,"",1964-07-28,9,2,N,No,2060
140,Morrie,Flaxon,1994-05-20,3,3,N,No,1100
141,Townsend,Trobe,1954-06-25,8,1,N,Yes,2916
142,Bentley,Fortesquieu,1967-08-07,10,2,N,No,374
143,Kendall,Figg,1957-09-01,1,3,N,Yes,690
144,Jory,Barrabeale,,7,3,N,No,2119
145,Filippo,Ferrara,1997-07-21,8,3,N,No,2899
146,Ricoriki,Matlock,1985-04-08,3,3,N,No,1630
147,Rea,Pattrick,1973-12-06,10,3,N,Yes,3170
148,Jaquith,Maffey,1981-05-08,4,3,N,Yes,2591
149,Drucy,Kausche,1995-01-31,10,3,N,Yes,1789
150,Bradly,Crosse,1983-08-23,8,2,N,No,2587
151,Donnie,Brimson,1965-01-31,3,3,N,Yes,3894
152,Stephana,Cardew,1981-03-03,8,3,N,No,2547
153,Lorilyn,Walshe,1977-07-28,6,3,N,Yes,1322
154,Faydra,Dulieu,1958-02-13,4,3,N,No,2087
155,Orran,Bogges,1985-12-28,3,3,N,No,862
156,Shayla,Rimmington,1979-09-09,8,3,N,Yes,1420
157,Chad,Houtby,1974-11-23,8,2,N,No,368
158,Hamlin,Odams,1984-09-03,4,2,N,No,1232
159,Arin,Matskevich,1987-05-12,10,2,N,No,1384
160,Wake,Durning,1964-07-15,10,3,N,No,2875
161,Tadd,Bloss,1976-01-21,4,3,N,No,3249
162,Port,Acuna,1979-08-12,7,3,N,No,3360
163,Kessia,Helder,1976-09-06,6,1,N,Yes,1121
164,Aarika,Van Vuuren,1999-08-07,2,2,N,Yes,3364
165,Aldon,Roelofs,1984-03-25,1,3,N,Yes,1476
166,Elston,Oleszczak,1955-06-12,3,2,N,No,941
167,Nathalie,Tideswell,1969-10-27,10,1,N,Yes,3469
168,Reggie,Broggetti,,7,2,N,Yes,178
169,Alfy,Bruhnke,1957-10-19,9,1,N,Yes,525
170,Jammal,Gever,1975-06-02,10,1,N,No,67
171,Halli,Davidoff,1970-12-04,3,3,N,No,2012
172,Hilton,Carney,1988-09-12,3,2,N,Yes,2687
173,Ebba,Hanselmann,1997-01-02,10,2,N,No,1641
174,Catie,Tosspell,1989-11-26,10,3,N,No,1470
175,Templeton,Hambrook,1975-11-28,3,2,N,No,2105
176,Angelo,Clayal,1992-04-13,5,3,N,No,3434
177,Ondrea,Pablos,1989-11-09,8,1,N,No,1285
178,Matthieu,Bertelmot,1967-04-03,4,2,N,No,2765
179,Esteban,Sewill,1966-05-11,3,1,N,Yes,3007
180,Trisha,Neasham,1971-09-17,1,2,N,No,2824
181,Pavla,Braunle,1982-11-21,3,3,N,No,1877
182,Lydon,Dahlman,1992-11-20,8,2,N,Yes,3811
183,Dannie,Hissie,1997-08-05,2,2,N,No,3756
184,Nappie,Paolo,1971-12-13,3,1,N,Yes,2021
185,Crosby,Walcot,1979-12-13,5,3,N,Yes,1736
186,Mireielle,Jeppe,1974-05-06,8,3,N,No,3882
187,Pincas,Ather,1954-01-28,4,3,N,No,1286
188,Audry,Seine,1975-06-22,5,1,N,Yes,2387
189,Umberto,Torricella,1981-07-19,8,2,N,No,2417
190,Hayley,Girardengo,1979-02-04,10,2,N,No,2817
191,Christopher,Heining,1960-04-27,4,2,N,Yes,3286
192,Goldi,Osler,1978-11-19,10,3,N,Yes,653
193,Foss,Hardes,1964-07-22,3,3,N,Yes,1024
194,Ursala,Ferrai,1974-11-16,8,2,N,No,741
195,Talyah,Rylatt,1958-11-14,3,3,N,No,408
196,Swen,Odhams,1966-02-22,3,1,N,No,29
197,Avis,"",1977-01-27,4,1,N,No,737
198,Vanya,Gumb,1981-11-29,6,3,N,No,134
199,Verla,Alven,1978-02-13,10,3,N,Yes,2134
200,Hube,Weald,1957-02-04,5,2,N,Yes,2351
201,Salem,Huie,1966-04-20,3,3,N,Yes,3671
202,Audie,Pillinger,1963-06-24,6,2,N,Yes,2579
203,Donovan,Conry,1964-01-13,1,3,N,Yes,2516
204,Thorny,Hackworth,1976-10-01,8,3,N,No,1715
205,Rolfe,Kellard,1958-12-01,8,3,N,Yes,1841
206,Mari,Chevolleau,1954-07-19,4,3,N,Yes,3874
207,Adena,Whyman,1994-08-10,4,3,N,No,2371
208,Rutter,Excell,1994-10-31,5,1,N,No,945
209,Udall,Bellard,1957-08-28,4,2,N,Yes,2704
210,Albrecht,Thomasson,1963-11-18,5,3,N,No,335
211,Beitris,"",1974-03-04,3,3,N,Yes,126
212,Nanice,Ellse,2001-11-19,7,2,N,No,2649
213,Lockwood,Exroll,1996-05-14,8,1,N,Yes,465
214,Jeramie,Cellier,1957-11-29,10,3,N,No,2944
215,Debera,Foxworthy,1974-06-24,2,1,N,Yes,2123
216,Cinderella,Parcall,1995-01-12,8,1,N,Yes,1698
217,Jeralee,Quartly,1979-12-09,3,1,N,No,3072
218,Stefa,Dunnan,1993-08-06,5,1,N,Yes,1338
219,Markus,Mughal,1964-11-25,10,3,N,No,3770
220,Jeniffer,Apark,1954-05-10,3,1,N,No,2948
221,Mara,Bloore,1980-03-10,3,3,N,No,1394
222,Nev,Larive,1978-09-03,10,3,N,No,1034
223,Ossie,Meaton,1983-11-26,4,2,N,Yes,2925
224,Morgun,Girvan,1967-12-03,8,2,N,No,2174
225,Brittaney,Pring,1977-03-11,10,2,N,No,3159
226,Bondie,Letty,1977-11-11,3,3,N,No,103
227,Wendall,McKeand,1973-08-14,6,3,N,No,3328
228,Lucia,Pickervance,1986-05-25,3,1,N,No,63
229,Vaughn,Lambis,1966-03-06,5,1,N,No,1572
230,Maegan,Scyone,1954-06-24,5,1,N,No,90
231,Basile,Winsor,1995-08-05,8,3,N,Yes,536
232,Zaria,Koeppke,1987-11-11,2,3,N,No,1134
233,Art,Barwell,1986-08-08,5,3,N,No,2952
234,Mead,Alpes,1969-08-12,2,1,N,No,1831
235,Leona,Phateplace,1976-12-26,10,3,N,No,2867
236,Tybalt,Gillingwater,1954-10-30,10,2,N,No,3856
237,Reginald,Dartan,1974-03-07,5,1,N,Yes,2714
238,Max,Bilborough,1984-02-04,4,3,N,Yes,175
239,Wells,Pressman,1992-12-13,10,2,N,No,3972
240,Gavin,Fawks,1989-07-28,7,1,N,Yes,2485
241,Quillan,Duigan,1987-05-09,6,3,N,No,2098
242,Taite,Droghan,1992-03-20,5,2,N,No,3913
243,Barbara,Croxley,1976-09-02,3,1,N,Yes,2102
244,Germayne,Sperry,1974-11-25,2,2,N,No,1090
245,Noell,Grahlmans,2001-09-26,8,2,N,No,1011
246,Binny,Whight,1991-02-28,3,1,N,No,3675
247,Kristal,Joysey,1983-05-06,8,1,N,Yes,713
248,Inger,Eskell,1978-04-15,10,2,N,Yes,584
249,D'arcy,Slay,1992-09-13,7,1,N,No,1449
250,Kristofer,"",1988-04-15,10,3,N,Yes,2397
251,Mala,"",1977-12-24,8,2,N,Yes,2127
252,Anthea,Ruskin,1983-01-24,5,3,N,Yes,3097
253,Amalee,Choak,1997-05-11,10,3,N,Yes,611
254,Barbie,Rubi,1961-09-22,2,3,N,No,870
255,Keeley,Kruger,1954-01-15,7,3,N,No,1019
256,Linell,Beadle,1975-05-07,10,1,N,Yes,445
257,Marissa,"",1966-02-08,3,2,N,Yes,3923
258,Othella,Keher,1992-05-03,3,1,N,No,451
259,Venita,Dymick,1983-07-22,10,1,N,Yes,1284
260,Farand,Marriner,1979-08-30,10,1,N,Yes,1222
261,Marve,Pryn,1977-10-15,4,3,N,No,2334
262,Cordie,Petrelli,1977-12-23,10,1,N,Yes,1520
263,Tonia,Leigh,1985-11-19,10,1,N,No,3893
264,Jedd,Spiby,1977-12-07,10,3,N,No,2833
265,Pennie,Stoile,1965-10-05,2,1,N,Yes,2092
266,Lelia,Garatty,1989-07-19,2,2,N,No,289
267,Edgar,Buckler,,7,1,N,No,3700
268,Kacie,Kidston,1978-10-18,3,3,N,No,2488
269,Zacherie,Grindley,1954-09-19,5,3,N,Yes,2993
270,Auberta,Roundtree,1970-12-10,4,3,N,Yes,1776
271,Doll,Burtwell,1991-02-13,8,3,N,No,1854
272,Arlie,Crean,1987-06-06,2,3,N,Yes,774
273,Nevile,Abraham,1963-04-22,4,3,N,No,473
274,Tessi,Hesse,1976-09-15,10,3,N,Yes,1578
275,Dud,"",1955-07-27,10,1,N,No,3389
276,Goldi,Dwine,1990-03-25,8,3,N,No,720
277,Jehanna,Alvarado,1956-02-19,4,1,N,No,3985
278,Sydney,Georger,1997-07-30,4,2,N,Yes,588
279,Tamera,Hinckes,1981-09-09,3,3,N,No,500
280,Welch,MacAllaster,1995-03-22,4,2,N,Yes,3150
281,Jeanette,Sizzey,1972-12-27,8,1,N,Yes,1977
282,Lauren,Curcher,1989-10-27,1,1,N,Yes,3681
283,Sari,Noye,1991-02-04,2,3,N,No,1801
284,Seth,Moorman,1986-04-11,8,1,N,Yes,3445
285,Julee,Janovsky,1977-11-19,3,3,N,No,89
286,Kiley,Canaan,1989-08-01,3,2,N,Yes,3788
287,Hannie,Wodham,1985-05-06,3,2,N,No,642
288,Ebenezer,Seedman,1985-09-08,3,1,N,No,1352
289,Modestia,Lithgow,1970-04-12,10,1,N,No,3771
290,Giorgio,Kevane,,7,3,N,No,3602
291,Aime,Burston,1971-10-22,6,3,N,No,2678
292,Gelya,Gerant,1961-11-24,4,2,N,Yes,1928
293,Virgilio,Willcocks,1989-12-10,3,3,N,Yes,1605
294,Magnum,Slowan,1959-04-01,4,1,N,No,2874
295,Lena,Chape,1964-12-26,4,3,N,Yes,1365
296,Marshal,Rathbone,1972-06-19,10,1,N,Yes,1435
297,Cecile,MacLise,1959-04-27,3,1,N,No,975
298,Maurise,Lenglet,1956-08-15,3,1,N,No,2514
299,Corabelle,Hartnell,1956-09-15,8,3,N,Yes,1931
300,Malachi,Hadcroft,1956-06-22,10,3,N,No,2002
301,Hildy,Bilbrook,1980-10-10,3,1,N,No,1249
302,Laurice,Colgrave,1977-03-27,10,3,N,No,3988
303,Shane,Smetoun,1974-08-15,1,3,N,Yes,1270
304,Paddy,Mumbray,1969-03-27,3,3,N,Yes,703
305,Cris,Chellam,1974-03-17,8,3,N,No,2300
306,Ruy,Adanet,1973-08-02,10,1,N,No,1018
307,Ruben,Handlin,1984-08-18,10,2,N,Yes,3861
308,Iver,Dobsons,1983-03-09,7,1,N,No,208
309,Maurizia,Ligerton,1974-10-02,10,3,N,Yes,1218
310,Myranda,Clowser,1985-02-13,8,3,N,Yes,2808
311,Jaimie,Halms,1957-08-16,10,1,N,No,1412
312,Garek,Prattin,1958-03-17,8,2,N,Yes,2734
313,Theo,McKune,1987-12-22,3,3,N,Yes,1718
314,Catie,Advani,1962-08-25,2,1,N,Yes,3561
315,Lisa,Odlin,1958-04-16,3,2,N,No,612
316,Genni,Larway,1976-06-01,3,3,N,Yes,917
317,Elicia,Dahler,1974-02-10,6,3,N,Yes,517
318,Libbie,Castelin,1969-05-19,2,2,N,Yes,415
319,Madelle,Matteris,1971-10-11,2,3,N,Yes,3800
320,Aldous,Cubin,1997-02-09,10,3,N,No,3901
321,Christean,Finnes,1973-09-15,4,3,N,No,2869
322,De,Denington,1977-03-10,8,3,N,Yes,260
323,Celka,Goodrich,1973-06-04,10,3,N,Yes,613
324,Franz,Lyptrit,1986-08-05,7,3,N,Yes,730
325,Anthia,Ghilardini,1971-09-26,8,2,N,Yes,166
326,Guenna,Spensly,1980-02-16,8,3,N,No,72
327,Cris,Richfield,1968-07-24,10,3,N,No,2560
328,Bernice,Kings,1991-04-11,3,3,N,No,3860
329,Garvy,Berthel,1984-11-20,6,1,N,Yes,1172
330,Port,Pancost,1959-06-03,3,1,N,Yes,3969
331,Ford,Groucock,1998-09-23,10,3,N,Yes,718
332,Liza,Trouel,1978-08-19,10,1,N,No,2968
333,Debbi,Doohey,1965-06-20,8,2,N,Yes,2370
334,Fredi,Iannuzzelli,1999-05-20,8,2,N,Yes,1530
335,Debee,Martynov,1983-04-19,4,2,N,No,1487
336,Georgiana,Wallington,1980-01-06,3,1,N,No,2224
337,Shaylah,Urquhart,1979-10-08,1,1,N,Yes,753
338,Hilliary,Littrell,1958-03-14,10,3,N,No,1821
339,Nanny,Casero,1980-01-11,10,3,N,No,2783
340,Joshuah,Purvey,1973-07-31,1,3,N,Yes,3374
341,Jeremiah,Wasling,1976-08-25,8,3,N,No,1288
342,Winslow,Hammant,1987-05-19,10,1,N,No,817
343,Nicole,Johananoff,1957-08-14,5,2,N,No,593
344,Carlene,Eyckelbeck,1973-07-18,4,1,N,Yes,1464
345,Tish,Oleksiak,1989-02-03,10,1,N,Yes,86
346,Timmie,Eisikowitz,1981-03-15,8,3,N,No,2934
347,Berkly,Grishinov,1965-06-06,8,3,N,No,1528
348,Gan,Devoy,1980-11-01,2,3,N,Yes,1205
349,Vinnie,Usherwood,1981-04-15,3,1,N,No,1819
350,Carmela,Jesper,1977-12-09,10,3,N,Yes,3828
351,Dev,Hafner,1999-05-12,10,3,N,Yes,1912
352,Orrin,Finding,1979-07-08,2,3,N,No,1026
353,Antonia,Cardis,1980-10-09,4,3,N,No,1235
354,Mavra,Donavan,1980-11-26,5,3,N,No,2298
355,Stacy,Gullane,1979-06-01,2,3,N,Yes,698
356,Nichole,"",1975-03-30,6,1,N,No,3676
357,Betta,Shrimpton,1969-01-25,4,2,N,No,3740
358,Kippie,Crimpe,1985-12-27,4,3,N,No,2056
359,Dulcine,Gauson,1958-11-28,3,2,N,Yes,2076
360,Atalanta,Starbucke,1956-04-02,5,3,N,Yes,514
361,Stephana,Minero,1999-03-27,10,3,N,Yes,3540
362,Jamima,Pirolini,1974-11-17,8,1,N,Yes,3017
363,Sabrina,Caddy,1988-03-04,2,3,N,Yes,1580
364,Leontyne,Simpkiss,1976-09-30,8,2,N,No,631
365,Romona,Capitano,1976-06-27,5,1,N,No,149
366,Constance,Ucchino,1954-01-08,6,1,N,No,3258
367,Katrinka,Sturrock,1985-02-17,3,3,N,Yes,3323
368,Lacee,Roan,1986-11-26,8,1,N,No,1793
369,Alic,Trenear,1991-08-24,8,3,N,Yes,2671
370,Trstram,Bondesen,1998-07-27,9,2,N,Yes,875
371,Pernell,Favelle,1954-07-06,8,3,N,No,756
372,Moina,Thumim,1987-08-13,5,2,N,Yes,760
373,Eva,Colenutt,2000-08-26,10,1,N,Yes,3932
374,Valdemar,MacCoughen,1992-01-22,8,3,N,Yes,424
375,Salvidor,Renzo,1976-08-23,3,3,N,Yes,2520
376,Marena,Brunotti,1966-10-24,8,3,N,Yes,1277
377,Levy,Bonavia,1999-05-19,1,3,N,No,110
378,Raquela,Yuille,1974-05-04,2,3,N,No,2164
379,Bert,Ainslie,1980-03-13,3,1,N,Yes,3085
380,Teriann,Birdsey,1956-05-15,5,3,N,No,1709
381,Leesa,Castleman,1996-11-30,4,2,N,No,2218
382,Issiah,Fardell,1985-08-14,10,3,N,Yes,2263
383,Barclay,Shalders,1978-07-15,4,2,N,No,2413
384,Friederike,Bestar,1976-08-06,8,2,N,No,2392
385,Kendall,Humes,1966-12-07,10,1,N,No,524
386,Ethelyn,Pincott,1990-10-27,1,3,N,No,2467
387,Spike,Thieme,1977-02-19,8,3,N,No,909
388,Carlye,Bartle,1966-05-25,8,3,N,Yes,2683
389,Dorene,Scrivner,1975-04-27,6,2,N,Yes,560
390,Royall,Slimings,1997-11-25,10,2,N,No,170
391,Duffie,Woodier,1970-03-25,1,3,N,No,1519
392,Brandyn,Morrid,1978-06-14,5,3,N,No,1298
393,Cesaro,Isbell,1955-02-08,3,3,N,Yes,2039
394,Roanne,Cowthard,1977-06-06,10,1,N,Yes,3243
395,Penn,Burkinshaw,1976-11-27,2,1,N,Yes,1360
396,Peria,Iscowitz,1967-01-25,9,1,N,Yes,2020
397,Nerissa,Foote,1981-09-02,8,2,N,Yes,1489
398,Randee,Douberday,1969-01-18,2,2,N,No,2018
399,Nickie,Neissen,1976-07-18,3,2,N,Yes,387
400,Sibeal,Fellow,1962-05-19,8,3,N,No,2774
401,Halette,Helling,1986-12-11,2,3,N,No,857
402,Berne,Donegan,1977-06-03,2,2,N,No,2481
403,Easter,Laffoley-Lane,1975-10-17,4,3,N,Yes,580
404,Sinclair,Sustins,1995-12-17,8,2,N,Yes,788
405,Vivien,Urion,1971-09-28,3,1,N,Yes,1974
406,Rhona,Spilsburie,1987-06-16,8,1,N,No,3318
407,Chryste,Acum,1979-01-12,4,1,N,Yes,2325
408,Kurtis,Baistow,1991-08-31,8,2,N,No,2578
409,Tatiania,O'Kane,1978-01-23,10,3,N,Yes,3341
410,Alicia,Townend,1990-04-09,4,3,N,Yes,2879
411,Cathyleen,Bern,1977-03-31,8,1,N,No,2510
412,Evanne,Feechum,1960-04-23,7,1,N,No,2427
413,Simone,Denys,1957-12-22,4,1,N,Yes,2640
414,Thorin,Grimoldby,1976-07-16,10,1,N,No,3314
415,Conchita,Jeans,1955-05-31,8,2,N,Yes,825
416,Dory,Barnsdall,1997-06-23,4,3,N,Yes,557
417,Fernandina,Brambley,1971-02-17,1,3,N,No,768
418,Jere,Ding,1958-12-22,4,3,N,No,2725
419,Chrissie,Bernardini,1981-01-26,3,2,N,No,625
420,Clem,Leek,1958-07-05,6,1,N,No,3830
421,Tish,Netti,1999-03-19,2,3,N,Yes,982
422,Vito,Norker,2002-01-06,3,2,N,No,3753
423,Orville,Akerman,1956-11-08,4,3,N,No,3183
424,Dennie,Eunson,1978-01-25,10,1,N,No,3798
425,Michaeline,Bordman,1953-11-19,2,3,N,Yes,3325
426,Emlyn,Anstice,1972-06-02,3,2,N,No,2217
427,Giusto,Torbett,1996-12-19,6,3,N,Yes,1547
428,Freida,Everil,1977-05-03,10,1,N,Yes,983
429,Berny,Bold,1978-07-30,7,1,N,Yes,152
430,Janice,Himsworth,1973-04-26,8,1,N,Yes,85
431,Gale,Done,1956-03-26,10,2,N,Yes,3046
432,Amby,Pentin,1990-02-12,3,2,N,Yes,2870
433,Reinhard,Jubert,1964-03-12,5,2,N,No,1197
434,Raff,Waadenburg,1995-12-01,8,3,N,Yes,559
435,Jerome,Muggeridge,1999-12-23,9,3,N,No,1556
436,Erwin,Pendre,1957-12-24,7,3,N,No,669
437,Sayres,Duthie,1976-08-14,3,2,N,Yes,2677
438,Ebenezer,Bottelstone,1989-08-17,5,1,N,Yes,1631
439,Lida,Wych,1974-07-08,4,2,N,No,1656
440,Sheena,O'Duggan,1977-12-16,9,3,N,No,2188
441,Felicle,Beneze,1974-03-08,7,3,N,No,719
442,Linc,Vedyasov,2001-10-06,8,3,N,No,411
443,Lauree,Leason,1972-03-26,1,1,N,Yes,2421
444,Britteny,Falconer-Taylor,1967-02-24,3,3,N,Yes,581
445,Timothy,Wenham,1984-11-13,8,3,N,No,372
446,Marilee,Oosthout de Vree,1978-07-02,7,2,N,Yes,893
447,Brittany,Peasey,2001-11-06,1,3,N,Yes,3922
448,Robin,Crack,1995-04-26,7,1,N,No,2690
449,Shana,Fortesquieu,1974-09-24,3,1,N,Yes,2324
450,Myrlene,Rothwell,1975-04-02,6,3,N,Yes,3566
451,Marlow,Flowerdew,,7,1,N,No,1862
452,Natalee,Bamford,1959-08-11,5,3,N,Yes,2538
